Date,Open,High,Low,Close,Volume,Asset_Name,MA_7,MA_30,Daily_Return,Volatility_7
1984-09-07,0.0998239,0.101049,0.0986188,0.0998239,98594718,Apple,,,,
1984-09-10,0.0998239,0.10013,0.0974239,0.0992315,76525586,Apple,,,-0.005934450567449234,
1984-09-11,0.10013,0.102846,0.10013,0.101049,180451874,Apple,,,0.018315756589389443,
1984-09-12,0.101049,0.101641,0.0980066,0.0980066,157640102,Apple,,,-0.030108165345525406,
1984-09-13,0.10346,0.103754,0.10346,0.10346,245518630,Apple,,,0.05564319137690732,
1984-09-14,0.103754,0.10736,0.103754,0.10495,292335803,Apple,,,0.014401701140537515,
1984-09-17,0.107676,0.109178,0.107676,0.107676,228250569,Apple,0.10202814285714286,,0.025974273463553965,
1984-09-18,0.107676,0.108565,0.103754,0.103754,115226112,Apple,0.10258958571428571,,-0.036424087076042944,0.03248516556635006
1984-09-19,0.103754,0.10495,0.101641,0.101641,125862763,Apple,0.10293379999999999,,-0.020365479885112947,0.03379874085845524
1984-09-20,0.101938,0.102846,0.101938,0.101938,78355891,Apple,0.1030608,,0.0029220491730699294,0.03320146262766523
1984-09-21,0.101938,0.10495,0.0998239,0.101049,118223408,Apple,0.10349542857142857,,-0.008720987266769953,0.030672025972201446
1984-09-24,0.101049,0.101641,0.10013,0.10013,93554928,Apple,0.10301971428571428,,-0.009094597670437188,0.021019138095733775
1984-09-25,0.0998239,0.0998239,0.0980066,0.0980066,197507733,Apple,0.1020278,,-0.021206431638869483,0.01997282996357667
1984-09-26,0.0980066,0.102529,0.0968212,0.0968212,131406575,Apple,0.10047711428571428,,-0.012095103799131923,0.01245149045625274
1984-09-27,0.0968212,0.0974239,0.0968212,0.0968212,125438353,Apple,0.09948671428571429,,0.0,0.009188359693602186
1984-09-28,0.0968212,0.0968212,0.092594,0.0944014,276394064,Apple,0.0984524857142857,,-0.024992460328936206,0.010187663609263724
1984-10-01,0.0941151,0.0941151,0.0922879,0.0922879,115783123,Apple,0.0970739,,-0.022388439154503947,0.009079802654957154
1984-10-02,0.0928905,0.096209,0.0928905,0.0928905,140027248,Apple,0.09590839999999999,,0.006529566714596369,0.011952659578244183
1984-10-03,0.0944014,0.0959027,0.0944014,0.0944014,142600267,Apple,0.09509002857142858,,0.016265387741480453,0.016074612550495398
