Date,Open,High,Low,Close,Volume,Asset_Name,MA_7,MA_30,Daily_Return,Volatility_7
2000-01-04,6000.0,6110.0,5660.0,6110.0,74195000,Samsung,,,,
2000-01-05,5800.0,6060.0,5520.0,5580.0,74680000,Samsung,,,-0.08674304418985268,
2000-01-06,5750.0,5780.0,5580.0,5620.0,54390000,Samsung,,,0.007168458781362075,
2000-01-07,5560.0,5670.0,5360.0,5540.0,40305000,Samsung,,,-0.014234875444839812,
2000-01-10,5600.0,5770.0,5580.0,5770.0,46880000,Samsung,,,0.041516245487364545,
2000-01-11,5820.0,6100.0,5770.0,5770.0,59745000,Samsung,,,0.0,
2000-01-12,5610.0,5740.0,5600.0,5720.0,29220000,Samsung,5730.0,,-0.008665511265164683,
2000-01-13,5600.0,5740.0,5560.0,5710.0,41190000,Samsung,5672.857142857143,,-0.0017482517482517723,0.038769365973235964
2000-01-14,5720.0,5880.0,5680.0,5830.0,49375000,Samsung,5708.571428571428,,0.021015761821365997,0.01918104264158759
2000-01-17,6000.0,6180.0,5920.0,6100.0,63505000,Samsung,5777.142857142857,,0.046312178387650116,0.024420480828980025
2000-01-18,6160.0,6160.0,5980.0,6100.0,45260000,Samsung,5857.142857142857,,0.0,0.022376132819022187
2000-01-19,6000.0,6040.0,5960.0,5960.0,40205000,Samsung,5884.285714285715,,-0.022950819672131195,0.022459521409860333
2000-01-20,5860.0,6040.0,5820.0,6040.0,37315000,Samsung,5922.857142857143,,0.01342281879194629,0.022549062213126192
2000-01-21,5950.0,5980.0,5880.0,5880.0,32535000,Samsung,5945.714285714285,,-0.026490066225165587,0.025407777489225496
2000-01-24,5800.0,5900.0,5700.0,5700.0,34355000,Samsung,5944.285714285715,,-0.030612244897959218,0.028670995563889818
2000-01-25,5520.0,5640.0,5440.0,5440.0,44250000,Samsung,5888.571428571428,,-0.04561403508771933,0.03149125839316534
2000-01-26,5500.0,5520.0,5410.0,5480.0,29285000,Samsung,5800.0,,0.007352941176470562,0.022017823889877854
2000-01-27,5480.0,5620.0,5430.0,5520.0,27900000,Samsung,5717.142857142857,,0.007299270072992803,0.022996836921899185
2000-01-28,5640.0,5880.0,5540.0,5820.0,38315000,Samsung,5697.142857142857,,0.05434782608695654,0.03391618209399972
2000-01-31,5640.0,5730.0,5560.0,5580.0,39630000,Samsung,5631.428571428572,,-0.04123711340206182,0.03577343173483924
2000-02-01,5600.0,5680.0,5260.0,5320.0,71470000,Samsung,5551.428571428572,,-0.04659498207885304,0.03799013739391362
2000-02-02,5220.0,5370.0,5110.0,5250.0,64105000,Samsung,5487.142857142857,,-0.013157894736842146,0.037251518326235945
2000-02-03,5250.0,5460.0,4970.0,5130.0,142765000,Samsung,5442.857142857143,,-0.02285714285714291,0.03463730869604952
2000-02-04,5130.0,5130.0,5130.0,5130.0,0,Samsung,5392.857142857143,,0.0,0.03420878179048554
2000-02-07,5140.0,5330.0,5040.0,5240.0,64140000,Samsung,5352.857142857143,,0.021442495126705596,0.035708811693739996
2000-02-08,5340.0,5480.0,5310.0,5430.0,58460000,Samsung,5297.142857142857,,0.03625954198473291,0.030867137906456236
2000-02-09,5560.0,5720.0,5480.0,5720.0,51050000,Samsung,5317.142857142857,,0.05340699815837935,0.03506538241710249
2000-02-10,5660.0,5880.0,5600.0,5760.0,61845000,Samsung,5380.0,,0.006993006993007089,0.027106926696943177
2000-02-11,5960.0,5960.0,5680.0,5700.0,34660000,Samsung,5444.285714285715,,-0.01041666666666663,0.026704322134428995
2000-02-14,5600.0,5660.0,5340.0,5380.0,44140000,Samsung,5480.0,5644.333333333333,-0.056140350877192935,0.03548810802937614
2000-02-15,5380.0,5420.0,5140.0,5200.0,38315000,Samsung,5490.0,5614.0,-0.03345724907063197,0.038748418903593325
2000-02-16,5180.0,5200.0,4780.0,5000.0,73115000,Samsung,5455.714285714285,5594.666666666667,-0.038461538461538436,0.04046621525626425
2000-02-17,4940.0,5100.0,4910.0,5080.0,65185000,Samsung,5405.714285714285,5576.666666666667,0.016000000000000014,0.03756249587218096
2000-02-18,5370.0,5630.0,5160.0,5300.0,108750000,Samsung,5345.714285714285,5568.666666666667,0.04330708661417315,0.03486913348489707
2000-02-21,5200.0,5260.0,5030.0,5070.0,26485000,Samsung,5247.142857142857,5545.333333333333,-0.04339622641509433,0.03588787154015887
2000-02-22,5000.0,5240.0,5000.0,5120.0,24180000,Samsung,5164.285714285715,5523.666666666667,0.009861932938856066,0.037344718602918894
2000-02-23,5220.0,5260.0,5100.0,5140.0,27720000,Samsung,5130.0,5504.333333333333,0.00390625,0.03284063803899316
2000-02-24,5120.0,5240.0,5060.0,5070.0,26075000,Samsung,5111.428571428572,5483.0,-0.013618677042801508,0.030876969654619623
2000-02-25,5080.0,5150.0,4980.0,5120.0,27875000,Samsung,5128.571428571428,5459.333333333333,0.009861932938856066,0.026814124792201237
2000-02-28,5000.0,5050.0,4800.0,4800.0,30140000,Samsung,5088.571428571428,5416.0,-0.0625,0.03574286044591198
2000-02-29,4900.0,5140.0,4840.0,5120.0,51820000,Samsung,5062.857142857143,5383.333333333333,0.06666666666666665,0.0418473666359188
2000-03-01,5120.0,5120.0,5120.0,5120.0,0,Samsung,5070.0,5355.333333333333,0.0,0.03811653203625459
2000-03-02,5880.0,5880.0,5520.0,5880.0,117750000,Samsung,5178.571428571428,5350.0,0.1484375,0.0675141802736048
2000-03-03,6200.0,6250.0,5880.0,6000.0,140990000,Samsung,5301.428571428572,5354.0,0.020408163265306145,0.06707099687497507
2000-03-06,6000.0,6050.0,5600.0,5640.0,39150000,Samsung,5382.857142857143,5352.0,-0.06000000000000005,0.07341805805225318
2000-03-07,5600.0,5640.0,5480.0,5620.0,30070000,Samsung,5454.285714285715,5358.0,-0.0035460992907800915,0.07382594087581543
2000-03-08,5520.0,6000.0,5500.0,5920.0,32460000,Samsung,5614.285714285715,5372.666666666667,0.053380782918149405,0.0659573646499394
2000-03-09,5970.0,5980.0,5620.0,5620.0,55890000,Samsung,5685.714285714285,5376.0,-0.05067567567567566,0.07049097056434622
2000-03-10,5790.0,5800.0,5520.0,5540.0,28605000,Samsung,5745.714285714285,5366.666666666667,-0.014234875444839812,0.07121190498123965
2000-03-13,5480.0,5490.0,5160.0,5180.0,32215000,Samsung,5645.714285714285,5353.333333333333,-0.06498194945848379,0.044397329038204855
2000-03-14,5170.0,5380.0,5160.0,5210.0,30060000,Samsung,5532.857142857143,5349.666666666667,0.005791505791505891,0.042648925313182595
2000-03-15,5200.0,5400.0,5120.0,5400.0,46105000,Samsung,5498.571428571428,5354.666666666667,0.03646833013435691,0.04284618767781808
2000-03-16,5480.0,5520.0,5360.0,5400.0,28795000,Samsung,5467.142857142857,5363.666666666667,0.0,0.04289269439513709
2000-03-17,5540.0,5560.0,5400.0,5480.0,24080000,Samsung,5404.285714285715,5375.333333333333,0.014814814814814836,0.03609888640366047
2000-03-20,5600.0,5710.0,5530.0,5660.0,26365000,Samsung,5410.0,5389.333333333333,0.03284671532846706,0.03432875840583896
2000-03-21,5700.0,5940.0,5610.0,5880.0,44925000,Samsung,5458.571428571428,5404.333333333333,0.03886925795053009,0.03608713873588591
2000-03-22,5960.0,6300.0,5880.0,6200.0,86975000,Samsung,5604.285714285715,5420.333333333333,0.054421768707483054,0.01974487192450581
2000-03-23,6480.0,6580.0,6200.0,6200.0,64950000,Samsung,5745.714285714285,5435.0,0.0,0.020832630986074175
2000-03-24,6320.0,7120.0,6180.0,6800.0,90260000,Samsung,5945.714285714285,5471.666666666667,0.09677419354838701,0.034309251462307025
2000-03-27,6960.0,7040.0,6700.0,6800.0,67730000,Samsung,6145.714285714285,5519.0,0.0,0.034309251462307025
2000-03-28,6900.0,7260.0,6820.0,7030.0,74425000,Samsung,6367.142857142857,5580.0,0.03382352941176481,0.03327805461830588
2000-03-29,7030.0,7680.0,6980.0,7660.0,78090000,Samsung,6652.857142857143,5668.666666666667,0.08961593172119486,0.03866975190418315
2000-03-30,7520.0,7560.0,7050.0,7050.0,74645000,Samsung,6820.0,5734.333333333333,-0.07963446475195823,0.06111665282556795
2000-03-31,6800.0,7070.0,6650.0,6700.0,63855000,Samsung,6891.428571428572,5781.0,-0.049645390070921946,0.06603701513331527
2000-04-03,6920.0,7320.0,6860.0,7100.0,56805000,Samsung,7020.0,5848.666666666667,0.05970149253731338,0.06790839620645166
2000-04-04,7000.0,7290.0,6660.0,6800.0,58340000,Samsung,7020.0,5904.666666666667,-0.04225352112676062,0.06233209362020303
2000-04-05,6800.0,6800.0,6800.0,6800.0,0,Samsung,7020.0,5960.0,0.0,0.06233209362020303
2000-04-06,6860.0,6960.0,6680.0,6680.0,47235000,Samsung,6970.0,6013.666666666667,-0.01764705882352946,0.060925318188840706
2000-04-07,6860.0,7260.0,6780.0,7200.0,42355000,Samsung,6904.285714285715,6083.0,0.07784431137724557,0.057945693032242174
2000-04-10,7500.0,7500.0,7200.0,7300.0,35885000,Samsung,6940.0,6166.333333333333,0.01388888888888884,0.04852436382073208
2000-04-11,7200.0,7200.0,6950.0,7100.0,29075000,Samsung,6997.142857142857,6232.333333333333,-0.0273972602739726,0.04486395524801512
2000-04-12,6960.0,7030.0,6860.0,6910.0,35250000,Samsung,6970.0,6292.0,-0.026760563380281654,0.0403008525622394
2000-04-13,6910.0,6910.0,6910.0,6910.0,0,Samsung,6985.714285714285,6326.333333333333,0.0,0.03645559028435166
2000-04-14,6600.0,6680.0,6260.0,6260.0,62365000,Samsung,6908.571428571428,6335.0,-0.09406657018813314,0.051791412556908126
2000-04-17,5420.0,5750.0,5340.0,5520.0,78050000,Samsung,6742.857142857143,6331.0,-0.11821086261980829,0.06605753533636287
2000-04-18,6200.0,6240.0,5860.0,6040.0,73730000,Samsung,6577.142857142857,6345.0,0.09420289855072461,0.07044423903681227
