Date,Open,High,Low,Close,Volume,Asset_Name,MA_7,MA_30,Daily_Return,Volatility_7,Day,Month,Year,DayOfWeek,Quarter,Close_lag1,Close_lag2,Close_lag7,EMA_7,Price_Range,Open_Close_Diff,Rolling_STD_7
1984-10-18,0.096209,0.0968212,0.096209,0.096209,292680633,Apple,0.0906046,0.0965919099999999,0.0289446496674958,0.0371137715005048,18,10,1984,3,4,0.0935026,0.0898681,0.092594,0.09233282944956486,0.0006121999999999933,0.0,0.0034283543311623803
1984-10-19,0.096209,0.102846,0.0959027,0.096209,386182514,Apple,0.0915104428571428,0.0964714133333333,0.0,0.0339522699271454,19,10,1984,4,4,0.096209,0.0935026,0.0898681,0.09330187208717364,0.006943300000000013,0.0,0.003992590818360559
1984-10-22,0.096209,0.0977102,0.0955867,0.0955867,135889371,Apple,0.0924120571428571,0.0963499199999999,-0.0064682098348387,0.0339417817249391,22,10,1984,0,4,0.096209,0.096209,0.0892754,0.09387307906538023,0.0021235000000000004,0.0006223000000000062,0.004114502524346908
1984-10-23,0.0977102,0.0986188,0.0977102,0.0977102,220770467,Apple,0.0941785857142857,0.0962386266666666,0.0222154337371203,0.0240688241641152,23,10,1984,1,4,0.0955867,0.096209,0.0853445,0.09483235929903516,0.0009086000000000094,0.0,0.003105113458704625
1984-10-24,0.0986188,0.0998239,0.0986188,0.0986188,197772989,Apple,0.0953863428571428,0.0962590333333333,0.0092989268264727,0.017884982698529,24,10,1984,2,4,0.0977102,0.0955867,0.0901645,0.09577896947427637,0.0012050999999999867,0.0,0.0029223921456329616
1984-10-25,0.0986188,0.0986188,0.0950138,0.0950138,187295501,Apple,0.0961214428571428,0.0959774933333333,-0.036554896226683,0.0256675230771209,25,10,1984,3,4,0.0986188,0.0977102,0.0898681,0.09558767710570727,0.003605000000000011,0.003605000000000011,0.0016905341856517618
1984-10-26,0.0950138,0.0950138,0.0922879,0.092594,135995424,Apple,0.0959916428571428,0.0955656266666666,-0.0254678794027815,0.023927958713127,26,10,1984,4,4,0.0950138,0.0986188,0.0935026,0.09483925782928046,0.0027258999999999894,0.0024197999999999997,0.0019413918511016611
1984-10-29,0.0928905,0.0935026,0.0928905,0.0928905,59973813,Apple,0.0955175714285714,0.0950727766666666,0.0032021513272999,0.0202237528343863,29,10,1984,0,4,0.092594,0.0950138,0.096209,0.09435206837196033,0.0006121000000000043,0.0,0.0022587109441112026
1984-10-30,0.0941151,0.0950138,0.0941151,0.0941151,88329409,Apple,0.0952184428571428,0.09475148,0.0131832641658726,0.0213314622567302,30,10,1984,1,4,0.0928905,0.092594,0.096209,0.09429282627897026,0.0008987000000000023,0.0,0.002290311408853368
1984-10-31,0.0941151,0.0950138,0.0935026,0.0935026,71326668,Apple,0.0949207142857142,0.0944802,-0.0065079886224419,0.0213325635933414,31,10,1984,2,4,0.0941151,0.0928905,0.0955867,0.09409526970922769,0.0015111999999999903,0.000612499999999988,0.00236858485769358
1984-11-01,0.0941151,0.0950138,0.0941151,0.0941151,55703206,Apple,0.0944071285714285,0.0942194366666666,0.0065506199827596,0.0189405307629456,1,11,1984,3,4,0.0935026,0.0941151,0.0977102,0.09410022728192077,0.0008987000000000023,0.0,0.0020282405016124262
1984-11-02,0.0941151,0.0944014,0.0928905,0.0935026,32785326,Apple,0.0936762428571428,0.09396789,-0.0065079886224419,0.0178359687708682,2,11,1984,4,4,0.0941151,0.0935026,0.0986188,0.09395082046144057,0.0015108999999999956,0.000612499999999988,0.0008188605311796781
1984-11-05,0.0935026,0.0955867,0.0928905,0.0928905,124775235,Apple,0.0933729142857142,0.0937265733333333,-0.0065463420268527,0.012472651078777,5,11,1984,0,4,0.0935026,0.0941151,0.0950138,0.09368574034608043,0.002696199999999996,0.0006121000000000043,0.0006065573054229569
1984-11-06,0.0986188,0.0992315,0.0986188,0.0986188,266818454,Apple,0.0942336,0.09374698,0.0616672318482514,0.0243346139856704,6,11,1984,1,4,0.0928905,0.0935026,0.092594,0.09491900525956032,0.0006126999999999938,0.0,0.0019972740072408835
1984-11-07,0.0986188,0.0992315,0.0968212,0.0968212,274192477,Apple,0.0947951285714285,0.09374698,-0.0182277618466256,0.0264816511727203,7,11,1984,2,4,0.0986188,0.0928905,0.0928905,0.09539455394467024,0.002410300000000004,0.0017976000000000103,0.002106307058743892
1984-11-08,0.0968212,0.0968212,0.0928905,0.0928905,104350696,Apple,0.0946201857142857,0.0936159566666666,-0.0405975137676458,0.0314614980233636,8,11,1984,3,4,0.0968212,0.0986188,0.0941151,0.09476854045850268,0.003930699999999995,0.003930699999999995,0.002219989214259526
1984-11-09,0.0928905,0.0935026,0.0865692,0.0874778,348304331,Apple,0.0937595,0.09338517,-0.0582696831215249,0.0382073357245931,9,11,1984,4,4,0.0928905,0.0968212,0.0935026,0.092945855343877,0.006933400000000006,0.005412700000000006,0.003515426224513898
1984-11-12,0.0904804,0.0910731,0.0904804,0.0904804,134112134,Apple,0.0932402571428571,0.0933249199999999,0.0343241370953546,0.0413829418843416,12,11,1984,0,4,0.0874778,0.0928905,0.0941151,0.09232949150790776,0.0005927000000000016,0.0,0.003716810520619862
